movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb
superman,Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi,Marlon Brando Margot Kidder Ned Beatty Richard Donner Action Adventure Drama Romance Sci-Fi
the nutty professor,Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,Comedy Romance Sci-Fi,Jada Pinkett Smith James Coburn Dave Chappelle Tom Shadyac Comedy Romance Sci-Fi
hitch,Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,Comedy Romance,Will Smith Michael Rapaport Kevin Sussman Andy Tennant Comedy Romance
george of the jungle,Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance,Brendan Fraser Abraham Benrubi Holland Taylor Sam Weisman Action Adventure Comedy Family Romance
american wedding,Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Comedy Romance,Alyson Hannigan Thomas Ian Nicholas Fred Willard Jesse Dylan Comedy Romance
date night,Shawn Levy,Mila Kunis,James Franco,Steve Carell,Comedy Crime Romance Thriller,Mila Kunis James Franco Steve Carell Shawn Levy Comedy Crime Romance Thriller
casper,Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,Comedy Family Fantasy,Eric Idle Fred Rogers Cathy Moriarty Brad Silberling Comedy Family Fantasy
maid in manhattan,Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy Drama Romance,Bob Hoskins Frances Conroy Natasha Richardson Wayne Wang Comedy Drama Romance
crimson tide,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War,Denzel Washington Viggo Mortensen Ricky Schroder Tony Scott Action Drama Thriller War
the pursuit of happyness,Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,Biography Drama,Will Smith Kurt Fuller James Karen Gabriele Muccino Biography Drama
flightplan,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller,Erika Christensen Michael Irby Haley Ramm Robert Schwentke Drama Mystery Thriller
disclosure,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,Drama Thriller,Demi Moore Dylan Baker Roma Maffia Barry Levinson Drama Thriller
city of angels,Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,Drama Fantasy Romance,Nicolas Cage Andre Braugher Colm Feore Brad Silberling Drama Fantasy Romance
kill bill: vol. 1,Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,David Carradine Vivica A. Fox Chiaki Kuriyama Quentin Tarantino Action
bowfinger,Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,Robert Downey Jr. Adam Alexi-Malle Jamie Kennedy Frank Oz Comedy
stargate sg-1            ,unknown,Christopher Judge,Don S. Davis,Gary Jones,Action Adventure Drama Sci-Fi,Christopher Judge Don S. Davis Gary Jones unknown Action Adventure Drama Sci-Fi
kill bill: vol. 2,Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller,Vivica A. Fox Michael Parks Michael Bowen Quentin Tarantino Action Crime Drama Thriller
tango & cash,Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller,Sylvester Stallone Jack Palance Brion James Andrey Konchalovskiy Action Comedy Crime Thriller
death becomes her,Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy Fantasy Horror,Bruce Willis Meryl Streep Isabella Rossellini Robert Zemeckis Comedy Fantasy Horror
shanghai noon,Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western,Xander Berkeley Jason Connery Kate Luyben Tom Dey Action Adventure Comedy Western
executive decision,Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller,Oliver Platt Joe Morton J.T. Walsh Stuart Baird Action Adventure Thriller
mr. popper's penguins,Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Comedy Family Fantasy,Madeline Carroll Ophelia Lovibond Philip Baker Hall Mark Waters Comedy Family Fantasy
the forbidden kingdom,Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,Action Adventure Fantasy,Jet Li Thomas McDonell Michael Angarano Rob Minkoff Action Adventure Fantasy
alien 3,David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,Action Horror Sci-Fi,Charles S. Dutton Holt McCallany Paul McGann David Fincher Action Horror Sci-Fi
evita,Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography Drama History Musical,Andrea Corr Jimmy Nail Peter Polycarpou Alan Parker Biography Drama History Musical
ronin,John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action Adventure Crime Thriller,Robert De Niro Natascha McElhone Michael Lonsdale John Frankenheimer Action Adventure Crime Thriller
the ghost and the darkness,Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,Adventure Drama Horror Thriller,Tom Wilkinson Bernard Hill Om Puri Stephen Hopkins Adventure Drama Horror Thriller
the hunted,William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,Action Crime Drama Thriller,Connie Nielsen Jenna Boyd Rex Linn William Friedkin Action Crime Drama Thriller
instinct,Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,Drama Thriller,Anthony Hopkins Maura Tierney John Ashton Jon Turteltaub Drama Thriller
stuck on you,Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy,Matt Damon Terence Bernie Hines Seymour Cassel Bobby Farrelly Comedy
semi-pro,Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,Comedy Sport,Will Ferrell Maura Tierney Matt Walsh Kent Alterman Comedy Sport
the pirates! band of misfits,Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,Adventure Animation Comedy Family,Salma Hayek Russell Tovey Brian Blessed Peter Lord Adventure Animation Comedy Family
changeling,Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime Drama Mystery Thriller,Angelina Jolie Pitt Michael Kelly Colm Feore Clint Eastwood Crime Drama Mystery Thriller
chain reaction,Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action Drama Sci-Fi Thriller,Keanu Reeves Morgan Freeman Kevin Dunn Andrew Davis Action Drama Sci-Fi Thriller
the fan,Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,Action Drama Sport Thriller,Robert De Niro Kurt Fuller Ellen Barkin Tony Scott Action Drama Sport Thriller
the phantom of the opera,Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,Drama Musical Romance Thriller,Gerard Butler Minnie Driver Miranda Richardson Joel Schumacher Drama Musical Romance Thriller
elizabeth: the golden age,Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Biography Drama History War,Eddie Redmayne Abbie Cornish Jordi Mollà Shekhar Kapur Biography Drama History War
æon flux,Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action Sci-Fi,Charlize Theron Sophie Okonedo Paterson Joseph Karyn Kusama Action Sci-Fi
gods and generals,Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,Drama History War,Billy Campbell Bruce Boxleitner John Castle Ron Maxwell Drama History War
turbulence,Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action Thriller,Hector Elizondo Lauren Holly Jeffrey DeMunn Robert Butler Action Thriller
imagine that,Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,Comedy Drama Family Fantasy,Stephen Root Ronny Cox Richard Schiff Karey Kirkpatrick Comedy Drama Family Fantasy
thunderbirds,Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi,Sophia Myles Philip Winchester Brady Corbet Jonathan Frakes Action Adventure Comedy Family Sci-Fi
burlesque,Steve Antin,Eric Dane,Peter Gallagher,David Walton,Drama Music Musical Romance,Eric Dane Peter Gallagher David Walton Steve Antin Drama Music Musical Romance
a very long engagement,Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,Drama Mystery Romance War,Denis Lavant André Dussollier Albert Dupontel Jean-Pierre Jeunet Drama Mystery Romance War
eye see you,Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Crime Horror Mystery Thriller,Sylvester Stallone Tom Berenger Charles S. Dutton Jim Gillespie Crime Horror Mystery Thriller
blade ii,Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action Horror Sci-Fi Thriller,Norman Reedus Thomas Kretschmann Tony Curran Guillermo del Toro Action Horror Sci-Fi Thriller
seven pounds,Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,Drama Romance,Will Smith Rosario Dawson Madison Pettis Gabriele Muccino Drama Romance
the godfather: part iii,Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,Crime Drama,Al Pacino Joe Mantegna Bridget Fonda Francis Ford Coppola Crime Drama
elizabethtown,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,Comedy Drama Romance,Orlando Bloom Kirsten Dunst Judy Greer Cameron Crowe Comedy Drama Romance
"you, me and dupree",Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,Comedy Romance,Todd Stashwick Billy Gardell Amanda Detmer Anthony Russo Comedy Romance
superman ii,Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,Action Adventure Romance Sci-Fi,Margot Kidder Ned Beatty Jackie Cooper Richard Lester Action Adventure Romance Sci-Fi
gigli,Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,Comedy Crime Romance,Todd Giebenhain Lenny Venito David Backus Martin Brest Comedy Crime Romance
all the king's men,Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,Drama Thriller,Kate Winslet Anthony Hopkins Kevin Dunn Steven Zaillian Drama Thriller
anastasia,Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,Adventure Animation Drama Family Fantasy Musical Mystery Romance,Kirsten Dunst Kelsey Grammer Bernadette Peters Don Bluth Adventure Animation Drama Family Fantasy Musical Mystery Romance
moulin rouge!,Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,Drama Musical Romance,Jim Broadbent Kylie Minogue Richard Roxburgh Baz Luhrmann Drama Musical Romance
domestic disturbance,Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,Crime Mystery Thriller,Steve Buscemi Teri Polo Matt O'Leary Harold Becker Crime Mystery Thriller
flags of our fathers,Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,Drama History War,Paul Walker Chris Bauer Tom McCarthy Clint Eastwood Drama History War
law abiding citizen,F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,Crime Drama Thriller,Gerard Butler Leslie Bibb Michael Kelly F. Gary Gray Crime Drama Thriller
grindhouse,Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,Action Horror Thriller,Quentin Tarantino Rosario Dawson Zoë Bell Robert Rodriguez Action Horror Thriller
beloved,Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,Drama History Horror,Oprah Winfrey Kimberly Elise Hill Harper Jonathan Demme Drama History Horror
lucky you,Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Drama Romance Sport,Robert Downey Jr. Robert Duvall Kelvin Han Yee Curtis Hanson Drama Romance Sport
catch me if you can,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,Biography Crime Drama,Leonardo DiCaprio Tom Hanks Jennifer Garner Steven Spielberg Biography Crime Drama
the break-up,Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,Comedy Drama Romance,Jon Favreau John Michael Higgins Ann-Margret Peyton Reed Comedy Drama Romance
mamma mia!,Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,Comedy Family Musical Romance,Colin Firth Meryl Streep Julie Walters Phyllida Lloyd Comedy Family Musical Romance
valentine's day,Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,Comedy Romance,Bradley Cooper Taylor Lautner Anne Hathaway Garry Marshall Comedy Romance
the dukes of hazzard,Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,Action Adventure Comedy,Alice Greczyn Jessica Simpson Michael Weston Jay Chandrasekhar Action Adventure Comedy
the thin red line,Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,Drama War,Nick Stahl Miranda Otto Dash Mihok Terrence Malick Drama War
the change-up,David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,Comedy Fantasy,Ryan Reynolds Olivia Wilde Mircea Monroe David Dobkin Comedy Fantasy
man on the moon,Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,Biography Comedy Drama,Matt Price Gerry Becker Tom Dreesen Milos Forman Biography Comedy Drama
casino,Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,Biography Crime Drama,Robert De Niro Don Rickles Kevin Pollak Martin Scorsese Biography Crime Drama
from paris with love,Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Action Thriller,Kasia Smutniak Amber Rose Revah Rebecca Dayan Pierre Morel Action Thriller
bulletproof monk,Paul Hunter,Jaime King,Mako,Victoria Smurfit,Action Comedy Fantasy,Jaime King Mako Victoria Smurfit Paul Hunter Action Comedy Fantasy
"me, myself & irene",Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,Comedy,Robert Forster Tony Cox Rob Moran Bobby Farrelly Comedy
barnyard,Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,Animation Comedy Family,Rob Paulsen Wanda Sykes Maurice LaMarche Steve Oedekerk Animation Comedy Family
deck the halls,John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,Comedy Family,Matthew Broderick Jorge Garcia Alia Shawkat John Whitesell Comedy Family
the twilight saga: new moon,Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,Robert Pattinson Kristen Stewart Taylor Lautner Chris Weitz Adventure Drama Fantasy Romance
shrek,Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,Adventure Animation Comedy Family Fantasy,Kathleen Freeman Chris Miller Bobby Block Andrew Adamson Adventure Animation Comedy Family Fantasy
the adjustment bureau,George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,Romance Sci-Fi Thriller,Matt Damon Michael Kelly Jon Stewart George Nolfi Romance Sci-Fi Thriller
robin hood: prince of thieves,Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,Action Adventure Drama Romance,Alan Rickman Morgan Freeman Michael Wincott Kevin Reynolds Action Adventure Drama Romance
jerry maguire,Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,Comedy Drama Romance Sport,Tom Cruise Kelly Preston Bonnie Hunt Cameron Crowe Comedy Drama Romance Sport
as good as it gets,James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,Comedy Drama Romance,Lupe Ontiveros Yeardley Smith Shirley Knight James L. Brooks Comedy Drama Romance
patch adams,Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,Biography Comedy Drama Romance,Robin Williams Philip Seymour Hoffman Monica Potter Tom Shadyac Biography Comedy Drama Romance
mr. deeds,Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,Comedy Romance,Steve Buscemi Adam Sandler Peter Gallagher Steven Brill Comedy Romance
super 8,J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,Mystery Sci-Fi Thriller,Joel Courtney AJ Michalka Zach Mills J.J. Abrams Mystery Sci-Fi Thriller
erin brockovich,Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,Biography Drama,Julia Roberts Albert Finney Conchata Ferrell Steven Soderbergh Biography Drama
how to lose a guy in 10 days,Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,Comedy Romance,Matthew McConaughey Adam Goldberg Thomas Lennon Donald Petrie Comedy Romance
interview with the vampire: the vampire chronicles,Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,Drama Fantasy Horror,Brad Pitt Tom Cruise Kirsten Dunst Neil Jordan Drama Fantasy Horror
yes man,Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,Comedy Romance,Bradley Cooper Zooey Deschanel Danny Masterson Peyton Reed Comedy Romance
stepmom,Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,Comedy Drama,Julia Roberts Liam Aiken Herbert Russell Chris Columbus Comedy Drama
inside man,Spike Lee,Denzel Washington,James Ransone,Peter Gerety,Crime Drama Mystery Thriller,Denzel Washington James Ransone Peter Gerety Spike Lee Crime Drama Mystery Thriller
payback,Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,Action Crime Drama Thriller,Bill Duke Deborah Kara Unger William Devane Brian Helgeland Action Crime Drama Thriller
congo,Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,Action Adventure Mystery Sci-Fi,Dylan Walsh Joe Don Baker Grant Heslov Frank Marshall Action Adventure Mystery Sci-Fi
we bought a zoo,Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,Comedy Drama Family,Scarlett Johansson Matt Damon Stephanie Szostak Cameron Crowe Comedy Drama Family
knowing,Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Drama Mystery Sci-Fi Thriller,Nicolas Cage Ben Mendelsohn Chandler Canterbury Alex Proyas Drama Mystery Sci-Fi Thriller
failure to launch,Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,Comedy Romance,Bradley Cooper Matthew McConaughey Zooey Deschanel Tom Dey Comedy Romance
the ring two,Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,Horror Mystery,Naomi Watts Gary Cole Sissy Spacek Hideo Nakata Horror Mystery
"crazy, stupid, love.",Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,Comedy Drama Romance,Ryan Gosling Emma Stone Steve Carell Glenn Ficarra Comedy Drama Romance
garfield,Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,Animation Comedy Family Fantasy,Bill Murray Mark Christopher Lawrence Michael Monks Peter Hewitt Animation Comedy Family Fantasy
christmas with the kranks,Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,Comedy Family,Jamie Lee Curtis Cheech Marin Jake Busey Joe Roth Comedy Family
moneyball,Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,Biography Drama Sport,Philip Seymour Hoffman Robin Wright Brad Pitt Bennett Miller Biography Drama Sport
outbreak,Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,Action Drama Thriller,Kevin Spacey Morgan Freeman Rene Russo Wolfgang Petersen Action Drama Thriller
race to witch mountain,Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,Action Adventure Family Fantasy Sci-Fi Thriller,Dwayne Johnson Billy Brown Tom Everett Scott Andy Fickman Action Adventure Family Fantasy Sci-Fi Thriller
v for vendetta,James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,Action Drama Thriller,Natalie Portman Eddie Marsan Rupert Graves James McTeigue Action Drama Thriller
shanghai knights,David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,Action Adventure Comedy,Fann Wong Anna-Louise Plowman Georgina Chapman David Dobkin Action Adventure Comedy
unforgotten            ,unknown,Bernard Hill,Gemma Jones,Nicola Walker,Crime Drama,Bernard Hill Gemma Jones Nicola Walker unknown Crime Drama
curious george,Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,Adventure Animation Comedy Family,Will Ferrell Frank Welker Alexander Gould Matthew O'Callaghan Adventure Animation Comedy Family
herbie fully loaded,Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,Adventure Comedy Family Fantasy Romance Sport,Scoot McNairy Thomas Lennon Cheryl Hines Angela Robinson Adventure Comedy Family Fantasy Romance Sport
don't say a word,Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,Crime Drama Mystery Thriller,Oliver Platt Jennifer Esposito Conrad Goode Gary Fleder Crime Drama Mystery Thriller
unfaithful,Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,Drama Thriller,Olivier Martinez Erik Per Sullivan Chad Lowe Adrian Lyne Drama Thriller
i am number four,D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,Action Adventure Sci-Fi Thriller,Alex Pettyfer Emily Wickersham Reuben Langdon D.J. Caruso Action Adventure Sci-Fi Thriller
13 hours,Michael Bay,Toby Stephens,James Badge Dale,David Costabile,Action Drama Thriller War,Toby Stephens James Badge Dale David Costabile Michael Bay Action Drama Thriller War
firewall,Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,Crime Thriller,Jimmy Bennett Harrison Ford Mary Lynn Rajskub Richard Loncraine Crime Thriller
absolute power,Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,Action Crime Drama Thriller,Clint Eastwood Mark Margolis Scott Glenn Clint Eastwood Action Crime Drama Thriller
g.i. jane,Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,Action Drama War,Viggo Mortensen Demi Moore John Michael Higgins Ridley Scott Action Drama War
the game,David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,Drama Mystery Thriller,Deborah Kara Unger Armin Mueller-Stahl Charles Martinet David Fincher Drama Mystery Thriller
silent hill,Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,Adventure Horror Mystery,Radha Mitchell Deborah Kara Unger Alice Krige Christophe Gans Adventure Horror Mystery
the replacements,Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,Comedy Sport,Keanu Reeves Jon Favreau Faizon Love Howard Deutch Comedy Sport
the negotiator,F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,Action Crime Drama Mystery Thriller,Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan F. Gary Gray Action Crime Drama Mystery Thriller
beverly hills cop iii,John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,Action Comedy Crime Thriller,Louis Lombardi Jon Tenney Gilbert R. Hill John Landis Action Comedy Crime Thriller
gremlins 2: the new batch,Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,Comedy Fantasy Horror,Christopher Lee Robert Picardo Phoebe Cates Joe Dante Comedy Fantasy Horror
the peacemaker,Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Action Thriller,Armin Mueller-Stahl Holt McCallany Marcel Iures Mimi Leder Action Thriller
resident evil: apocalypse,Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,Action Horror Sci-Fi Thriller,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt Action Horror Sci-Fi Thriller
bridget jones: the edge of reason,Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,Comedy Drama Romance,Colin Firth Jim Broadbent Celia Imrie Beeban Kidron Comedy Drama Romance
out of time,Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,Crime Drama Romance Thriller,Denzel Washington Sanaa Lathan John Billingsley Carl Franklin Crime Drama Romance Thriller
on deadly ground,Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,Action Adventure Thriller,Mike Starr Joan Chen Sven-Ole Thorsen Steven Seagal Action Adventure Thriller
the adventures of sharkboy and lavagirl 3-d,Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,Action Adventure Family Fantasy,Taylor Lautner Kristin Davis Taylor Dooley Robert Rodriguez Action Adventure Family Fantasy
the beach,Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,Adventure Drama Thriller,Leonardo DiCaprio Virginie Ledoyen Peter Youngblood Hills Danny Boyle Adventure Drama Thriller
raising helen,Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,Comedy Drama Romance,Amber Valletta Felicity Huffman Spencer Breslin Garry Marshall Comedy Drama Romance
ninja assassin,James McTeigue,Shô Kosugi,Ben Miles,Rain,Action Crime Thriller,Shô Kosugi Ben Miles Rain James McTeigue Action Crime Thriller
for love of the game,Sam Raimi,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,Drama Romance Sport,J.K. Simmons Kelly Preston Carmine Giovinazzo Sam Raimi Drama Romance Sport
a touch of frost            ,unknown,David Jason,Bruce Alexander,John Lyons,Crime Drama Mystery,David Jason Bruce Alexander John Lyons unknown Crime Drama Mystery
striptease,Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,Comedy Crime Drama Thriller,Demi Moore Rumer Willis Paul Guilfoyle Andrew Bergman Comedy Crime Drama Thriller
hereafter,Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,Drama Fantasy,Matt Damon Jay Mohr Cécile De France Clint Eastwood Drama Fantasy
assassins,Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,Action Crime Thriller,Muse Watson Sylvester Stallone Kelly Rowan Richard Donner Action Crime Thriller
hannibal rising,Peter Webber,Li Gong,Stephen Walters,Richard Brake,Crime Drama Thriller,Li Gong Stephen Walters Richard Brake Peter Webber Crime Drama Thriller
the story of us,Rob Reiner,Bruce Willis,Tim Matheson,Rita Wilson,Comedy Drama Romance,Bruce Willis Tim Matheson Rita Wilson Rob Reiner Comedy Drama Romance
basic,John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action Crime Drama Mystery Thriller,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller
blood work,Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action Crime Drama Mystery Thriller,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller
the international,Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Action Crime Drama Mystery Thriller,Naomi Watts Brían F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller
escape from l.a.,John Carpenter,Steve Buscemi,Valeria Golino,Michelle Forbes,Action Adventure Sci-Fi Thriller,Steve Buscemi Valeria Golino Michelle Forbes John Carpenter Action Adventure Sci-Fi Thriller
twisted            ,unknown,Grey Damon,Brittany Curran,Aaron Hill,Drama Mystery Thriller,Grey Damon Brittany Curran Aaron Hill unknown Drama Mystery Thriller
the iron giant,Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,Action Adventure Animation Comedy Drama Family Sci-Fi,Vin Diesel Harry Connick Jr. M. Emmet Walsh Brad Bird Action Adventure Animation Comedy Drama Family Sci-Fi
the life aquatic with steve zissou,Wes Anderson,Bill Murray,Anjelica Huston,Matthew Gray Gubler,Adventure Comedy Drama,Bill Murray Anjelica Huston Matthew Gray Gubler Wes Anderson Adventure Comedy Drama
the life of david gale,Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,Crime Drama Thriller,Kevin Spacey Kate Winslet Matt Craven Alan Parker Crime Drama Thriller
man of the house,Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,Action Comedy,Christina Milian Vanessa Ferlito Kelli Garner Stephen Herek Action Comedy
eastern promises,David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,Crime Mystery Thriller,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller
into the blue,John Stockwell,Paul Walker,James Frain,Ashley Scott,Action Adventure Crime Thriller,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller
